doi,year,author,title,citationCount,layer,rationale
10.1007/bf02292165,1907,Megusar,Regeneration des Caudalhorns bei der Seidenspinnerraupe Bombyx mori L.),2,Layer 3,"Same phenomenon (Regeneration); different species and design. Citing: ""Untersuchungen über die Regeneration von Larvalorganen und Imaginalscheiben bei """
10.1007/bf02292166,1907,Megusar,Die Regeneration der Coleopteren,23,Layer 3,"Same phenomenon (Regeneration); different species and design. Citing: ""The sea spider <i>Pycnogonum litorale</i> overturns the paradigm of the absence """
10.1007/bf02292167,1907,Muftic,Die Lungenregeneration bei Salamandra maculosa und einigen andern Amphibien,4,Layer 3,"Same phenomenon (Regeneration); different species and design. Citing: ""Über Lungenregeneration bei Anurenlarven"""
10.1007/bf02292168,1907,Przibram,Vererbungsversuche über asymmetrische Augenfärbung bei Angorakatzen,21,Layer 2,"Same broader taxon (Mammals); different species. Citing: ""Kristine Bonnevie's theories on the genetics of fingerprints, and their applicat"""
10.1007/bf02292169,1907,Hans Przibram,Die »Scherenumkehr« bei decapoden Crustaceen (zugleich: Experimentelle Studien über Regeneration. Vierte Mitteilung),10,Layer 4,"Modern engagement exists but does not align on species, taxon, or phenomenon; abstract logic only."
10.1007/bf02292170,1907,Werber,Regeneration der exstirpierten Flügel beim Mehlkäfer (Tenebrio molitor),8,Layer 4,"Modern engagement exists but does not align on species, taxon, or phenomenon; abstract logic only."
10.1007/bf02292171,1907,Kammerer,Regeneration des Dipterenflügels beim Imago,7,Layer 4,"Modern engagement exists but does not align on species, taxon, or phenomenon; abstract logic only."
10.1007/bf02292172,1907,Zuelzer,Über den Einfluß der Regeneration auf die Wachstumsgeschwindigkeit von Asellus aquaticus L.,11,Layer 3,"Same phenomenon (Regeneration); different species and design. Citing: ""Growth and Regeneration of the Second Antennae of Asellus Aquaticus (Isopoda) in"""
10.1007/bf02292208,1912,Janda,Die Regeneration der Geschlechtsorgane bei Criodrilus lacuum Hoffm. II,8,Layer 2,"Same broader taxon (Annelida); different species. Citing: ""Annelids as models of germ cell and gonad regeneration"""
10.1007/bf02292209,1912,Kurz,Die beinbildenden Potenzen entwickelter Tritonen,28,Layer 4,"Modern engagement exists but does not align on species, taxon, or phenomenon; abstract logic only."
10.1007/bf02292210,1912,Morgulis,Studien über Inanition in ihrer Bedeutung für das Wachstumsproblem,7,Layer 4,"Modern engagement exists but does not align on species, taxon, or phenomenon; abstract logic only."
10.1007/bf02292211,1912,Przibram/Megusar,Wachstumsmessungen an Sphodromantis bioculata Burm,59,Layer 1,"Modern citation engages same genus (sphodromantis): ""Notes on the lifecycle and distribution of Sphodromantis gastrica (Stål, 1858) ("""
10.1007/bf02292212,1912,Secerov,Die Umwelt des Keimplasmas,4,Layer 2,"Same broader taxon (Amphibia); different species. Citing: ""Über den Einfluß der Umwelt auf die Eierstöcke der Tritonen"""
10.1007/bf02292745,1914,Klintz,Experimentelle Schwanzregeneration bei Bilchen (Myoxidae) und einigen andern Säugern,1,Layer 4,"Modern engagement exists but does not align on species, taxon, or phenomenon; abstract logic only."
10.1007/bf02292746,1914,Kornfeld,Abhängigkeit der metamorphotischen Kiemenrückbildung vom Gesamtorganismus der Salamandra maculosa,15,Layer 1,"Modern citation engages same genus (salamandra): ""Über das Leben der Salamandra-Larven bei hohem und niedrigem Sauerstoffpartialdr"""
10.1007/bf02292747,1914,Przibram/Walther,Keine Größenzunahme der frischgeschlüpften Sphodromantis mit dem Alter der Mutter,0,none,No citations indexed in OpenAlex.
10.1007/bf02292748,1914,Sztern,Wachstumsmessungen an Sphodromantis bioculata Burm,17,Layer 4,"Modern engagement exists but does not align on species, taxon, or phenomenon; abstract logic only."
10.1007/bf02292958,1924,Brecher,"Die Puppenfärbungen des Kohlweißlings, Pieris brassicae L",16,Layer 4,"Modern engagement exists but does not align on species, taxon, or phenomenon; abstract logic only."
10.1007/bf02292959,1924,Leonore Brecher,"Die Puppentärbungen der Vanessiden (Vanessa Io, V. utricae)",5,Layer 2,"Same broader taxon (Lepidoptera); different species. Citing: ""Trade-offs between melanization, development time and adult size in Inachis io a"""
10.1007/bf02292960,1924,Leonore Brecher,Die Bedingungen für Fühlerfüße bei Dixippus (Carausius) morosus Br. et Redt,7,Layer 1,"Modern citation engages same genus (dixippus): ""Beitrag zur heteromorphen Regeneration bei Dixippus morosus"""
10.1007/bf02292961,1924,Ehrenpreis,Milztransplantation an arterwachsenen Urodelen,1,Layer 3,"Same phenomenon (Transplantation / replantation); different species and design. Citing: ""Regeneration und Transplantation bei Tieren"""
10.1007/bf02292962,1924,Hans Przibram,"Die virtuelle und reelle Lage des Amphibienembryos nach natürlichen und künstlichen Marken am Ei des Alpenmolches, Triton alpestris",1,Layer 4,"Modern engagement exists but does not align on species, taxon, or phenomenon; abstract logic only."
10.1007/bf02292963,1924,Przibram,Achsenverhältnisse und Entwicklungspotenzen der Urodelenextremitäten an Modellen zu Harrisons Transplantationsversuchen,6,Layer 2,"Same broader taxon (Amphibia); different species. Citing: ""The effect of reversing the medio-lateral or transverse axis of the fore-limb bu"""
10.1007/bf02292964,1924,Hans Przibram,Die Rolle der Dopa in den Kokonen gewisser Nachtfalter und Blattwespen mit Bemerkungen über die chemischen Orte der Melaninbildung,11,Layer 2,"Same broader taxon (Hymenoptera); different species. Citing: ""Beiträge zur Kenntnis der Morphologie, Anatomie und Biologie von Lophyrus pini L"""
10.1007/bf02292965,1924,Weiss,Die Funktion transplantierter Amphibienextremitäten,42,Layer 2,"Same broader taxon (Amphibia); different species. Citing: ""The inductive activity of the spinal cord in urodele tail regeneration"""
10.1007/bf02292966,1924,Paul Weiß,Regeneration an transplantierten Extremitäten entwickelter Amphibien,20,Layer 2,"Same broader taxon (Amphibia); different species. Citing: ""Unabhängigkeit der Extremitätenregeneration vom Skelett (bei Triton cristatus)"""
10.1007/bf02292967,1924,Theodor Koppányi,Erhaltung der Spermatogenese im autophor transplantierten Urodelenhoden,8,Layer 2,"Same broader taxon (Amphibia); different species. Citing: ""Embryonale Transplantation zwischen Urodelen und Anuren"""
10.1007/bf02292968,1924,Koppanyi,Versuche zur Biologie des Rippenmolches Pleurodeles Waltli Michah,0,none,No citations indexed in OpenAlex.
10.1007/bf02292969,1924,Przibram / Wiesner,Erhöhung der Körpertemperatur junger Wanderratten (Mus decumanus) über den Normalwert und ihr Einfluß auf die Schwanzlänge,0,none,No citations indexed in OpenAlex.
10.1007/bf02554396,1919,Przibram,Tierische Regeneration als Wachstumsbeschleunigung,18,Layer 3,"Same phenomenon (Regeneration); different species and design. Citing: ""REGENERATION IN THE CARAPACE OF DAPHNIA MAGNA"""
10.1007/bf02554397,1919,Hans Przibram,Fangbeine als Regenerate,8,Layer 2,"Same broader taxon (Orthoptera / Mantis); different species. Citing: ""Die Bedingungen für Fühlerfüße bei Dixippus (Carausius) morosus Br. et Redt"""
10.1007/bf02554398,1919,Przibram,Fußglieder an Käferfühlern,4,Layer 4,"Modern engagement exists but does not align on species, taxon, or phenomenon; abstract logic only."
10.1007/bf02554400,1919,Przibram/Brecher,Ursachen tierischer Farbkleidung,34,Layer 4,"Modern engagement exists but does not align on species, taxon, or phenomenon; abstract logic only."
10.1007/bf02554401,1919,Przibram,Ursachen tierischer Farbkleidung,20,Layer 4,"Modern engagement exists but does not align on species, taxon, or phenomenon; abstract logic only."
10.1007/bf02554402,1919,Przibram/Dembowski,Konservierung der Tyrosinase durch Luftabschluß,16,Layer 2,"Same broader taxon (Fishes); different species. Citing: ""Veränderung der Melaninmenge beim Farbwechsel der Fische Esox, Carassius, Phoxin"""
10.1007/bf02554403,1919,Brecher,"Die Puppenfärbungen des Kohlweißlings, Pieris brassicae L.",23,Layer 4,"Modern engagement exists but does not align on species, taxon, or phenomenon; abstract logic only."
10.1007/bf02554404,1919,Kammerer,Vererbung erzwungener Formveränderungen,11,Layer 4,"Modern engagement exists but does not align on species, taxon, or phenomenon; abstract logic only."
10.1007/bf02554409,1919,Eduard Uhlenhuth,"Studien zur Linsenregeneration bei den Amphibien. I. Ein Beitrag zur Depigmentierung der Iris, mit Bemerkungen über den Wert der Reizphysiologie",11,Layer 2,"Same broader taxon (Amphibia); different species. Citing: ""Bildung einer überzähligen Linse bei Rana temporaria"""
10.1007/bf02554414,1920,Kolmer,Über den Befund einer zweiten Linse (Spontanlentoidbildung) im Auge eines Welses,5,Layer 3,"Same phenomenon (Entwicklungsmechanik / experimental embryology); different species and design. Citing: ""Extra‐epidermal and supernumerary lenses in association with cyclopean eyes in A"""
10.1007/bf02554415,1920,Demoll,Zur Frage nach der Vererbung vom Soma erworbener Eigenschaften,5,Layer 4,"Modern engagement exists but does not align on species, taxon, or phenomenon; abstract logic only."
10.1007/bf02554416,1920,Steinach,Künstliche und natürliche Zwitterdrüsen und ihre analogen Wirkungen,28,Layer 3,"Same phenomenon (Sex determination / sexual characters); different species and design. Citing: ""The past and future of “sex genes”"""
10.1007/bf02554417,1920,Steinach,Histologische Beschaffenheit der Keimdrüse bei homosexuellen Männern,26,Layer 4,"Modern engagement exists but does not align on species, taxon, or phenomenon; abstract logic only."
10.1007/bf02554418,1920,Stieve,Das Skelett eines Teilzwitters,5,Layer 4,"Modern engagement exists but does not align on species, taxon, or phenomenon; abstract logic only."
10.1007/bf02554419,1920,Erdmann,Endomixis and size variations in pure bred lines of paramaecium aurelia,18,Layer 4,"Modern engagement exists but does not align on species, taxon, or phenomenon; abstract logic only."
10.1007/bf02554420,1920,Uhlenhuth,Studien zur Linsenregeneration bei den Amphibien,11,Layer 2,"Same broader taxon (Amphibia); different species. Citing: ""Marked increase in the rate of ocular lens regeneration in the newt,<i>Cynops py"""
10.1007/bf02554426,1920,Steinach/Kammerer,Klima und Mannbarkeit,20,Layer 4,"Modern engagement exists but does not align on species, taxon, or phenomenon; abstract logic only."
10.1007/bf02554478,1921,Brecher,"Die Puppenfärbungen des Kohlweißlings, Pieris brassicae L. Fünfter Teil: Kontrollversuche zur spezifischen Wirkung der Spektralbezirke mit anderen Faktoren",11,Layer 2,"Same broader taxon (Lepidoptera); different species. Citing: ""Pupal colour plasticity in a tropical butterfly, Mycalesis mineus (Nymphalidae: """
10.1007/bf02554479,1921,Brecher,"Die Puppenfärbungen des Kohlweißlings, Pieris brassicae L. Sechster Teil: Chemismus der Farbanpassung",10,Layer 1,"Modern citation engages same genus (pieris): ""Die Puppenfärbungen des Kohlweißlings, Pieris brassicae L"""
10.1007/bf02554480,1921,Przibram/Dembowski/Brecher,Einwirkung der Tyrosinase auf “Dopa” (zugleich: Ursachen tierischer Farbkleidung. IV),20,Layer 2,"Same broader taxon (Lepidoptera); different species. Citing: ""Über die Wirkung farbigen Lichtes auf die Puppen des Kohlweißlings (Pieris brass"""
10.1007/bf02554481,1921,Przibram,"Temperaturunabhängigkeit der weiblichen Periode und Gravidität bei Ratten, Mus decumanus und M. rattus",2,Layer 1,"Modern citation engages same genus (rattus): ""Direkte Temperaturabhängigkeit der Schwanzlänge bei Ratten, Mus (Epimys) decuman"""
10.1007/bf02554482,1921,Przibram,Die Bruch-Dreifachbildung im Tierreiche,44,Layer 2,"Same broader taxon (Crustacea); different species. Citing: ""Naturally occurring abnormalities (Bruchdreifachbildungen) in the chelae of thre"""
10.1007/bf02554483,1921,Przibram,Form und Geschwindigkeit. Ein Beitrag zur allgemeinen Morphologie. Die Naturwissenschaften,0,none,No citations indexed in OpenAlex.
